,0
380,ogród botaniczny
381,folwark
382,megamarket
383,chór
384,poliklinika
385,stebnik
386,stacja nasłuchowa
387,agenda
388,stancja
389,Wenecja Północy
390,kwatera zastępcza
391,młyn
392,odeon
393,geolokalizacja
394,wrotowisko
395,orda
396,fotolab
397,bidul
398,krater
399,cyrk
400,czarny punkt
401,świetlica
402,kwiaciarnia
403,bożnica
404,pretorium
405,punkt katechetyczny
406,łagier
407,karawanseraj
408,punkt geodezyjny
409,barycentrum
410,informatorium
411,podcentrala
412,wygódka
413,ksero
414,żleb
415,sławojka
416,stanowisko antropologiczne
417,miasto wojewódzkie
418,kardiologia
419,wodociągownia
420,wylęgarnia
421,obóz
422,ogród barokowy
423,kaczy dół
424,kiosk
425,perypteros
426,mandapa
427,dworzec
428,stacja klimatyczna
429,checkpoint
430,motel
431,przygródek
432,magistrat
433,budka suflera
434,skateshop
435,majdan
436,peron wyspowy
437,hipocentrum
438,instancja
439,lido
440,bastylia
441,zikurat
442,metropolia
443,technikum
444,ogród warzywny
445,meta
446,świetlica środowiskowa
447,kino non stop
448,gastrologia
449,giełda papierów wartościowych
450,ogródek jordanowski
451,przyczółek
452,pasmanteria
453,obserwatorium
454,refleks
455,osteria
456,obóz zagłady
457,monastyr
458,skwer
459,jałownik
460,sklep kolonialny
461,sejm
462,nuncjatura
463,siłka
464,wieś drobnoszlachecka
465,słownikarnia
466,kraina geograficzna
467,obserwatorium meteorologiczne
468,tell
469,agromiasteczko
470,trumna
471,mięsny
472,secondhand
473,senat
474,kościół
475,izba wytrzeźwień
476,blaszak
477,punkt Laplace'a
478,akwapark
479,storczykarnia
480,skocznia narciarska
481,stanica
482,administracja
483,pasaż
484,auł
485,podworzec
486,ulicówka
487,krater meteorytowy
488,psychiatria
489,kenesa
490,skarbówka
491,stanowisko dokumentacyjne
492,ognisko
493,magiel
494,budynek inwentarski
495,notariat
496,piekarnia
497,dziedziniec
498,park wodny
499,rybny
500,empora organowa
501,areał
502,słoboda
503,ładowisko
504,kacznik
505,informacja
506,wioszczyna
507,miasto otwarte
508,palafit
509,archikatedra
510,ostrów
511,dom wypoczynkowy
512,pole siłowe
513,teatr
514,oddział zakaźny
515,psychiatryk
516,środek masy
517,bukaciarnia
518,kienesa
519,market
520,oflag
521,obiekt
522,wyspa
523,świątynia grobowa
524,monopolowy
525,punkt skupu
526,siedziba
527,konwikt
528,murowaniec
529,elektrociepłownia
530,parkiet
531,krater pasożytniczy
532,fitness club
533,uniwersytet ludowy
534,chata
535,siodlarnia
536,przychodnia
537,mimbar
538,elektrownia wiatrowa
539,skier
540,stodoła
541,rzeźnik
542,dom handlowy
543,podwórzec
544,elektrownia wodna
545,schronisko
546,dolina ryftowa
547,pole biwakowe
548,ogród naturalistyczny
549,wypożyczalnia
550,kureń
551,modlitewnia
552,osiedle
553,drwalnia
554,suk
555,świniarnia
556,zajazd
557,polepa
558,targowisko
559,szpital psychiatryczny
560,kilometr zerowy
561,sanatorium
562,chlew
563,reumatologia
564,megasam
565,kaplica
566,stacja zborna
567,wysiółek
568,położenie geograficzne
569,neurologia
570,placówka socjalizacyjna
571,parking
572,kościół salowy
573,geriatria
574,giełda
575,multipleks
576,szkółka
577,sex shop
578,rogatka
579,centrum pobytowe
580,murawa
581,poprawczak
582,fitness klub
583,prostyl
584,Helikon
585,nadbudowa
586,emporium
587,autosalon
588,szalet
589,wewnętrzny
590,ciepłownia
591,sobór
592,miasto
593,konserwatornia
594,wioska olimpijska
595,owocarnia
596,giełda samochodowa
597,kacet
598,oliwnik
599,wspinalnia
600,konsulat
601,dzieciniec
602,sztuczna ściana wspinaczkowa
603,chlewnia
604,rzędówka
605,ugór
606,zadupie
607,penthouse
608,sklepik
